N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
13;Secrétaire;Administration;Administratif;Opérationnel;Bac à Bac+2 (BTS Secrétariat);1 650€ → 2 300€/mois;La secrétaire organise l'agenda, rédige les courriers, gère les appels et assure la coordination administrative au sein d'un service ou d'une direction.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1607;;
14;Secrétaire administratif;Administration;Administratif;Opérationnel;Bac à Bac+2;1 650€ → 2 300€/mois;Le secrétaire administratif assure le traitement du courrier, la tenue des dossiers et l'organisation des réunions dans une structure publique ou privée.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1607;;
15;Secrétaire d'administration scolaire et universitaire;Enseignement;Administratif;Opérationnel;Bac+2 ou Bac+3 + concours SASU (Secrétaire d'Administration Scolaire et Universitaire);1 600€ → 3 500€/mois;Le secrétaire d'administration scolaire et universitaire gère les dossiers administratifs des élèves et étudiants. Il traite les inscriptions, les notes, les diplômes, assure l'accueil des usagers, prépare les conseils de classe et assure la liaison entre les équipes pédagogiques et l'administration.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;;;;;V;V;M1607;;
16;Acheteur;"Aéronautique et transport aérien ; Commerce ; Industrie";Achats et approvisionnement;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;L'acheteur aéronautique négocie les contrats d'approvisionnement en pièces, matériaux et services pour l'industrie aéronautique. Il identifie les fournisseurs qualifiés, évalue leurs performances, gère les risques de la supply chain et optimise les coûts dans le respect des normes de qualité aéronautique.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;V;V;V;M1101;;
17;Agent de piste d'aéroport;Aéronautique et transport aérien;Logistique;Opérationnel;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;L'agent ou opérateur spécialisé en logistique réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;;;;V;;V;V;N2204;;
18;ajusteur-monteur aéronautique;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;L'ajusteur-monteur aéronautique assemble des éléments de structure ou de systèmes d'aéronefs selon des plans de fabrication précis. Il réalise les opérations de perçage, rivetage, ajustage et montage en respectant les tolérances strictes imposées par la certification aéronautique.;ONISEP;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;;;;;;V;V;V;V;;;
19;chaudronnier et tuyauteur;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;CAP à Bac Pro (chaudronnerie/tuyauterie);1 800€ → 3 000€/mois;Le chaudronnier-tuyauteur fabrique des éléments chaudronnés et installe des canalisations industrielles.;ONISEP;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;;;;;;V;V;V;V;H2902;;
20;Controleur aérien;Aéronautique et transport aérien;Logistique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;Le contrôleur aérien guide et sécurise les aéronefs en vol et au sol depuis une tour de contrôle ou un centre de contrôle régional. Il gère les flux de trafic aérien, prévient les conflits entre aéronefs, communique avec les pilotes en anglais et adapte les trajectoires en temps réel.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;V;N2202;;
21;Dessinateur industriel;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;Le dessinateur industriel aéronautique réalise les plans techniques des pièces et sous-ensembles d'aéronefs sur logiciels de CAO. Il traduit les exigences des ingénieurs en dessins d'exécution, gère les nomenclatures et s'assure de la conformité avec les standards aéronautiques.;ONISEP;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;;;;;V;V;V;V;H1202;;
22;Electronicien aéronautique;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;L'électronicien aéronautique installe, teste et maintient les systèmes électroniques embarqués des aéronefs (avionique, navigation, communication). Il diagnostique les pannes à l'aide d'appareils de mesure spécialisés et effectue les réparations conformément aux manuels de maintenance.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;V;V;V;I1602;;
23;Ingenieur de bureau d'etudes;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en conception technique, technologique ou informatique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;E;N;T;J;;V;V;;;;;V;;;;
24;ingénieur calcul en industrie aéraunotique;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs mécanique/aéronautique);3 200€ → 6 000€/mois;L'ingénieur calcul réalise des simulations numériques et des analyses structurales pour valider les conceptions avant fabrication.;ONISEP;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;V;V;;;;;V;;;;
25;ingenieur d'affaires;Aéronautique et transport aérien;Commercial;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en commercial conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;V;V;;;;V;;E1123;;
26;Ingénieur électronicien des systèmes de la sécurité;Aéronautique et transport aérien;Installation et/ou maintenance;Opérationnel;Bac+5 (école d'ingénieurs électronique);3 000€ → 6 000€/mois;L'ingénieur électronique conçoit des circuits et systèmes électroniques pour des applications variées. Il supervise le développement et les tests.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;V;V;;;;;V;;;;
27;Ingenieur en aeronautique;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs aéronautique);3 500€ → 6 500€/mois;L'ingénieur aéronautique conçoit et développe des aéronefs, systèmes de propulsion ou équipements avioniques. Il travaille en bureau d'études ou maintenance.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;V;V;;;;;V;;H2302;;
28;Ingenieur en systemes embarques;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;L'ingénieur spécialisé en conception technique, technologique ou informatique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;;;;V;;H2302;;
29;ingenieur structure calcul structure;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+5 (école d'ingénieurs mécanique/aéronautique);3 200€ → 6 000€/mois;L'ingénieur calcul réalise des simulations numériques et des analyses structurales pour valider les conceptions avant fabrication.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;V;V;;;;;V;;H2302;;
30;Mécanicien moteur;Aéronautique et transport aérien;Installation et/ou maintenance;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;Le mécanicien moteur aéronautique entretient et répare les moteurs d'avions et d'hélicoptères. Il réalise les inspections périodiques, remplace les pièces d'usure, effectue les réglages et valide le bon fonctionnement des groupes motopropulseurs selon les procédures de navigabilité.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;V;H2901;;
31;Mécanicien de maintenance aéronautique;Aéronautique et transport aérien;Installation et/ou maintenance;Opérationnel;Bac Pro Aéronautique à BTS Aéronautique;2 000€ → 3 500€/mois;Le mécanicien de maintenance aéronautique assure l'entretien et la réparation des systèmes mécaniques, hydrauliques et électriques des aéronefs.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;V;V;V;I1102;;
32;Monteur cableur;Aéronautique et transport aérien;Installation et/ou maintenance;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;Le monteur-câbleur aéronautique installe les faisceaux électriques et les équipements dans les aéronefs. Il pose les câbles selon les plans de câblage, réalise les connexions, effectue les tests d'isolement et de continuité et s'assure de la conformité avec les normes de navigabilité.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;V;V;V;H2602;;
33;Opérateur régleur sur machine à commandes numériques;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;L'agent ou opérateur spécialisé en conception mécanique réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;;V;V;;;
34;Architecte d'interieur;"Bâtiment - construction ; Art";Conception graphique et esthétique;Opérationnel;Bac+4 à Bac+5 (école d'architecture d'intérieur);2 200€ → 5 000€/mois;L'architecte d'intérieur conçoit et aménage des espaces intérieurs en alliant esthétique et fonctionnalité, pour des particuliers ou des entreprises.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;V;V;;V;;;V;;F1102;;
35;Pilote d'hélicoptère;Aéronautique et transport aérien;Transport;Opérationnel;ATPL Hélicoptère + heures de vol;3 500€ → 8 000€/mois;Le pilote d'hélicoptère assure des missions variées : transport, sauvetage, sécurité civile ou militaire. Il maîtrise les techniques de vol à voilure tournante.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;;;V;V;V;;N2102;;
36;Pilote de ligne;Aéronautique et transport aérien;Transport;Opérationnel;ATPL (Licence Pilote de Ligne) + Bac+2 min;4 500€ → 10 000€/mois;Le pilote de ligne assure la conduite des avions commerciaux et garantit la sécurité des passagers, de la préparation du vol à l'atterrissage.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;;;V;V;;V;;N2102;;
37;Architecte d'intérieur;Bâtiment - construction;Conception graphique et esthétique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;L'architecte d'intérieur conçoit et réaménage des espaces intérieurs (appartements, bureaux, commerces) en alliant esthétique, fonctionnalité et contraintes techniques. Il réalise des plans, sélectionne les matériaux et les mobiliers, et suit les travaux de transformation.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;V;F1102;;
38;Stratifieur;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac+2 à Bac+5 (aéronautique, ingénierie);2 200€ → 7 000€/mois;Le stratifieur aéronautique fabrique des pièces en matériaux composites (fibres de carbone, kevlar, fibre de verre) pour les structures d'aéronefs. Il réalise les drapage, la mise sous vide et la cuisson en autoclave et contrôle la qualité des stratifiés selon les exigences aéronautiques.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;V;H3203;;
39;Technicien d’éssai;Aéronautique et transport aérien;Qualité - conformité;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien d'essai aéronautique réalise des tests sur les équipements et systèmes d'aéronefs pour valider leurs performances et leur conformité. Il programme les bancs d'essai, recueille les mesures, analyse les résultats et rédige les procès-verbaux de qualification.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;;V;V;I1402;;
40;Technicien de maintenance aéronautique;Aéronautique et transport aérien;Installation et/ou maintenance;Opérationnel;Bac+2 à Bac+3 (BTS Aéronautique, Licence LAME);2 200€ → 3 800€/mois;Le technicien de maintenance aéronautique inspecte, entretient et répare les aéronefs pour garantir leur navigabilité et la sécurité des vols.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;V;V;V;I1102;;
41;Technicien superieur en électronique;Aéronautique et transport aérien;Ingénierie et conception technique;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien supérieur en électronique aéronautique diagnostique et répare les systèmes d'avionique complexes (pilote automatique, radar météo, systèmes ILS). Il interprète les schémas électriques, utilise des équipements de mesure spécialisés et assure la navigabilité des appareils.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;;;;;;V;;V;V;I1612;;
42;Technicien support clients;Aéronautique et transport aérien;Commercial;Opérationnel;Bac Pro à Bac+2;1 900€ → 3 200€/mois;Le technicien support clients aéronautique assiste les compagnies aériennes et les MRO dans l'utilisation et la maintenance des équipements ou aéronefs fournis par son employeur. Il répond aux questions techniques, traite les demandes de pièces, réalise des formations et peut se déplacer sur site.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;;V;V;G1208;;
43;Agent tractoriste en viticulture;"Métiers du vin ; Agriculture";Production et fabrication;Opérationnel;CAPA Vigne et Vin ou BTSA Viticulture-Œnologie;1 600€ → 2 500€/mois;L'agent tractoriste en viticulture conduit et entretient les engins agricoles (tracteurs, enjambeurs) utilisés dans les vignes. Il réalise les travaux mécanisés de la vigne : travail du sol, traitements phytosanitaires, rognage et vendange mécanique.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;;V;V;A1101;;
44;Acquaculteur;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;L'aquaculteur élève des poissons, crustacés, coquillages ou algues en milieu contrôlé (bassins, étangs, cages marines). Il gère l'alimentation, la santé des élevages, la qualité de l'eau et conduit les cycles de production jusqu'à la récolte.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;A1404;;
45;Berger;Agriculture;Production et fabrication;Entrepreneur - Profession libérale;BEPA ou Bac Pro conduite de productions animales;1 500€ → 2 200€/mois;Le berger assure la conduite et le soin d'un troupeau d'ovins ou caprins. Il surveille la santé des animaux, gère les pâturages et réalise les tâches d'élevage quotidiennes.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;A1410;;
46;Bucheron;Agriculture;Production et fabrication;Opérationnel;CAP Exploitation forestière à Bac Pro;1 600€ → 2 500€/mois;Le bûcheron abat les arbres et réalise les premières transformations du bois en forêt. Il utilise des tronçonneuses et des engins forestiers en respectant les règles de sécurité.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;;A1201;;
47;Caviste;"Métiers du vin ; Commerce ; Agroalimentaire";Commercial;Entrepreneur - Profession libérale;CAP Caviste à BTS Viti-Oeno;1 700€ → 2 800€/mois;Le caviste sélectionne, achète et vend des vins et spiritueux. Il conseille les clients sur les accords mets-vins et gère les stocks de sa cave.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;A1422;;
48;Céréalier;Agriculture;Production et fabrication;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le céréalier cultive des grandes cultures (blé, maïs, orge, colza...) sur des surfaces importantes. Il planifie les assolements, gère les semis, les traitements et les récoltes, et assure la gestion technico-économique de son exploitation.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;A1416;;
49;Chargé d'affaires agricoles;Agriculture;Commercial;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;Le chargé d'affaires agricoles développe et gère un portefeuille de clients agriculteurs pour une banque, une coopérative ou un organisme de conseil. Il analyse les projets d'exploitation, monte des dossiers de financement et accompagne ses clients dans leurs investissements.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;;;;;;V;V;;;
50;chef d’exploitation agricole;Agriculture;Production et fabrication;Entrepreneur - Profession libérale;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le chef d'exploitation agricole dirige et gère une ferme dans ses dimensions technique, économique et humaine. Il planifie les productions, manage les équipes saisonnières, gère les achats d'intrants et la commercialisation, et s'adapte aux contraintes climatiques et réglementaires.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;;;;;;V;V;V;;;;
51;Agent de location;"Commerce ; Immobilier";Commercial;Opérationnel;CAP à Bac+2;1 600€ → 2 500€/mois;L'agent de location gère la mise en location de biens (véhicules, logements, matériels) pour le compte d'une agence ou d'un propriétaire. Il accueille les clients, présente les offres, rédige les contrats, effectue les états des lieux et suit les dossiers locatifs.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;;;;
52;Conseiller en agrodéveloppement international;Agriculture;Gestion de projet;Opérationnel;BPREA à Bac+5 (ingénieur agronome);1 500€ → 3 500€/mois;Le conseiller en agrodéveloppement international accompagne des projets agricoles dans les pays en développement. Il analyse les filières locales, forme les agriculteurs, conçoit des programmes de développement rural et collabore avec des ONG, bailleurs de fonds ou gouvernements.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;;;;;V;V;V;;;;
53;conseiller viticole;"Métiers du vin ; Agriculture";Conseil - consulting;Opérationnel;Bac+3 à Bac+5 (ingénieur agronome spécialité viti-oeno);2 000€ → 4 000€/mois;Le conseiller viticole apporte son expertise technique aux viticulteurs pour optimiser la qualité et le rendement de leurs vignes. Il diagnostique les maladies, conseille sur la taille, les traitements, la vinification et accompagne la conversion vers l'agriculture biologique.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;;;;;;V;V;V;;K1903;;
