Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Responsable de gestion administrative;"Administration ; Informatique - numérique - digital ; Commerce ; Industrie ; Banque - finance ; Assurance ; Aéronautique et transport aérien ; Énergie";Administratif;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le responsable de gestion administrative supervise les processus administratifs, manage une équipe et assure le bon fonctionnement des services support.;Bac+3 à Bac+5;2 800€ → 4 500€/mois;;Oui;;;Oui;;;Oui;;M1701;;
Responsable de l'administration du personnel;"Ressources humaines ; Administration";Administratif;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le responsable de l'administration du personnel gère les dossiers salariés, les contrats, la paie et les déclarations sociales. Il veille à la conformité légale de tous les actes RH.;Bac+3 à Bac+5 (RH, droit social);3 000€ → 5 000€/mois;;Oui;;;Oui;;;Oui;;M1509;;
Secrétaire;Administration;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;La secrétaire organise l'agenda, rédige les courriers, gère les appels et assure la coordination administrative au sein d'un service ou d'une direction.;Bac à Bac+2 (BTS Secrétariat);1 650€ → 2 300€/mois;;Oui;;Oui;;;;Oui;Oui;M1607;;
Secrétaire administratif;Administration;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le secrétaire administratif assure le traitement du courrier, la tenue des dossiers et l'organisation des réunions dans une structure publique ou privée.;Bac à Bac+2;1 650€ → 2 300€/mois;;Oui;;Oui;;;;Oui;Oui;M1607;;
Secrétaire d'administration scolaire et universitaire;"Enseignement ; Administration ; Fonction publique";Administratif;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le secrétaire d'administration scolaire gère les dossiers des élèves et personnels, l'organisation des examens et les aspects comptables et administratifs des établissements d'enseignement.;Concours SAENES (Bac+2);1 900€ → 2 800€/mois;;Oui;;;;;;Oui;Oui;M1607;;
Acheteur;"Commerce ; Industrie ; Agroalimentaire ; Automobile ; Aéronautique et transport aérien ; Grande distribution";Achat - approvisionnement;→ Fiche métier;Opérationnel;BTS MCO - BTS CI - BTS en achat - BUT tecnique de commercialisation - BAC+5 achat et approvisionnement;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;L'acheteur sélectionne les fournisseurs et négocie les contrats d'approvisionnement. Il optimise les coûts, garantit la qualité des produits et s'assure de la fiabilité des livraisons.;Bac+3 à Bac+5 (achats, commerce);2 800€ → 5 500€/mois;;;;;;Oui;Oui;Oui;Oui;M1101;;
Agent de piste d'aéroport;Aéronautique et transport aérien;Logistique;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'agent ou opérateur spécialisé en logistique réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;;;;;;Oui;;Oui;Oui;N2204;;
ajusteur-monteur aéronautique;"Aéronautique et transport aérien ; Industrie";Production;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;S;T;J;L'ajusteur-monteur aéronautique assemble et ajuste les pièces mécaniques des aéronefs. Il contrôle les tolérances, effectue les ajustements et s'assure de la conformité aux plans techniques.;CAP à Bac Pro aéronautique;1 900€ → 3 200€/mois;;;;;;Oui;Oui;Oui;Oui;;;
chaudronnier et tuyauteur;Aéronautique et transport aérien;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ISTJ;Nécessaire;Peu nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;S;T;J;Le chaudronnier-tuyauteur fabrique des éléments chaudronnés et installe des canalisations industrielles.;CAP à Bac Pro (chaudronnerie/tuyauterie);1 800€ → 3 000€/mois;;;;;;Oui;Oui;Oui;Oui;H2902;;
Controleur aérien;"Aéronautique et transport aérien ; Transport - logistique - approvisionnement";Transport;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;Le contrôleur aérien guide les aéronefs en vol et au sol depuis une tour de contrôle ou un centre en route. Il garantit la sécurité et la fluidité du trafic aérien.;Concours DSAC + formation ENAC (Bac+3 min);3 500€ → 7 000€/mois;;;;;;Oui;Oui;Oui;Oui;N2202;;
Dessinateur industriel;"Industrie ; Aéronautique et transport aérien ; Automobile ; Bâtiment - construction";Conception mécanique;→ Fiche métier;Opérationnel;Accueil - service - suivi client;;INTJ;Peu nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;Le dessinateur industriel réalise les plans et schémas techniques de pièces ou systèmes mécaniques. Il utilise des logiciels de CAO et travaille en lien avec les bureaux d'études.;Bac+2 à Bac+3 (conception industrielle, CAO);2 200€ → 3 800€/mois;;;;;;Oui;Oui;Oui;Oui;H1202;;
Electronicien aéronautique;"Aéronautique et transport aérien ; Électronique";Technique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'électronicien aéronautique assure la maintenance des systèmes électroniques des aéronefs : avionique, commandes de vol, systèmes de navigation. Il diagnostique les pannes et remplace les équipements.;Bac Pro Aéronautique à BTS Maintenance aéronautique;2 200€ → 3 800€/mois;;;;;;Oui;Oui;Oui;Oui;I1602;;
Ingenieur de bureau d'etudes;Aéronautique et transport aérien;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;E;N;T;J;L'ingénieur spécialisé en conception technique, technologique ou informatique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
ingénieur calcul en industrie aéraunotique;Aéronautique et transport aérien;Conception mécanique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;L'ingénieur calcul réalise des simulations numériques et des analyses structurales pour valider les conceptions avant fabrication.;Bac+5 (école d'ingénieurs mécanique/aéronautique);3 200€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
ingenieur d'affaires;Aéronautique et transport aérien;Commercial;→ Fiche métier;Opérationnel;BTS MCO - BTS CI - BTS en achat - BUT tecnique de commercialisation - BAC+5 achat et approvisionnement;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;L'ingénieur spécialisé en commercial conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;Oui;;;;Oui;;E1123;;
Ingénieur électronicien des systèmes de la sécurité;Aéronautique et transport aérien;Installation et/ou maintenance;→ Fiche métier;Opérationnel;Bac+2 de l’École nationale de l’aviation civile;;INTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;L'ingénieur électronique conçoit des circuits et systèmes électroniques pour des applications variées. Il supervise le développement et les tests.;Bac+5 (école d'ingénieurs électronique);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;;;
Ingenieur en aeronautique;Aéronautique et transport aérien;Conception mécanique;→ Fiche métier;Opérationnel;;;ENTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;L'ingénieur aéronautique conçoit et développe des aéronefs, systèmes de propulsion ou équipements avioniques. Il travaille en bureau d'études ou maintenance.;Bac+5 (école d'ingénieurs aéronautique);3 500€ → 6 500€/mois;;Oui;Oui;;;;;Oui;;H2302;;
Ingenieur en systemes embarques;Aéronautique et transport aérien;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'ingénieur spécialisé en conception technique, technologique ou informatique conçoit, développe et optimise des solutions techniques dans son domaine d'expertise. Il gère des projets et coordonne des équipes.;Bac+5 (école d'ingénieurs);3 000€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;H2302;;
ingenieur structure calcul structure;Aéronautique et transport aérien;Conception mécanique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;L'ingénieur calcul réalise des simulations numériques et des analyses structurales pour valider les conceptions avant fabrication.;Bac+5 (école d'ingénieurs mécanique/aéronautique);3 200€ → 6 000€/mois;;Oui;Oui;;;;;Oui;;H2302;;
Mécanicien moteur;"Aéronautique et transport aérien ; Industrie";Installation et/ou maintenance;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le mécanicien moteur entretient et répare les moteurs d'aéronefs. Il réalise les inspections périodiques, diagnostique les défauts et effectue les opérations de maintenance selon les procédures constructeur.;Bac Pro Aéronautique à BTS Maintenance aéronautique;2 200€ → 4 000€/mois;;;;;;Oui;Oui;Oui;Oui;H2901;;
Mécanicien de maintenance aéronautique;Aéronautique et transport aérien;Installation et/ou maintenance;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le mécanicien de maintenance aéronautique assure l'entretien et la réparation des systèmes mécaniques, hydrauliques et électriques des aéronefs.;Bac Pro Aéronautique à BTS Aéronautique;2 000€ → 3 500€/mois;;;;;;Oui;Oui;Oui;Oui;I1102;;
Monteur cableur;"Aéronautique et transport aérien ; Électronique ; Industrie";Production;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le monteur câbleur installe et raccorde les faisceaux de câbles électriques dans les aéronefs, navires ou équipements industriels. Il respecte les schémas électriques et vérifie les connexions.;CAP Monteur en installation aéronautique à Bac Pro;1 800€ → 3 000€/mois;;;;;;Oui;Oui;Oui;Oui;H2602;;
Opérateur régleur sur machine à commandes numériques;Aéronautique et transport aérien;Conception mécanique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'agent ou opérateur spécialisé en conception mécanique réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;;;;;;Oui;;Oui;Oui;;;
Architecte d'interieur;"Art ; Bâtiment - construction ; Immobilier ; Luxe";Conception esthétique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;L'architecte d'intérieur conçoit et aménage des espaces intérieurs en alliant esthétique et fonctionnalité, pour des particuliers ou des entreprises.;Bac+4 à Bac+5 (école d'architecture d'intérieur);2 200€ → 5 000€/mois;;Oui;Oui;;Oui;;;Oui;;F1102;;
Pilote d'hélicoptère;Aéronautique et transport aérien;Transport;→ Fiche métier;Opérationnel;A checké;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le pilote d'hélicoptère assure des missions variées : transport, sauvetage, sécurité civile ou militaire. Il maîtrise les techniques de vol à voilure tournante.;ATPL Hélicoptère + heures de vol;3 500€ → 8 000€/mois;;Oui;;;;Oui;Oui;Oui;;N2102;;
Pilote de ligne;Aéronautique et transport aérien;Transport;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le pilote de ligne assure la conduite des avions commerciaux et garantit la sécurité des passagers, de la préparation du vol à l'atterrissage.;ATPL (Licence Pilote de Ligne) + Bac+2 min;4 500€ → 10 000€/mois;;Oui;;;Oui;Oui;;Oui;;N2102;;
Architecte d'intérieur;"Art ; Bâtiment - construction ; Immobilier ; Luxe";Conception esthétique;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;L'architecte d'intérieur conçoit l'aménagement et la décoration des espaces résidentiels ou commerciaux. Il élabore les plans, sélectionne les matériaux et supervise les travaux.;Bac+3 à Bac+5 (design d'intérieur, architecture);2 500€ → 6 000€/mois;;;;;;Oui;Oui;Oui;Oui;F1102;;
Stratifieur;"Aéronautique et transport aérien ; Nautique - metiers de la mer ; Industrie";Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le stratifieur fabrique des pièces en matériaux composites (fibre de verre, carbone) pour l'aéronautique, le nautisme ou l'automobile. Il dépose les couches de tissu et résine selon les plans.;CAP à Bac Pro matériaux composites;1 900€ → 3 200€/mois;;;;;;Oui;Oui;Oui;Oui;H3203;;
Technicien d’éssai;Aéronautique et transport aérien;Qualité - conformité;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le technicien spécialisé en qualité - conformité assure des opérations techniques de terrain, de maintenance ou de contrôle dans son secteur d'activité.;Bac Pro à Bac+2;1 900€ → 3 200€/mois;;;;;;Oui;;Oui;Oui;I1402;;
Technicien de maintenance aéronautique;Aéronautique et transport aérien;Installation et/ou maintenance;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le technicien de maintenance aéronautique inspecte, entretient et répare les aéronefs pour garantir leur navigabilité et la sécurité des vols.;Bac+2 à Bac+3 (BTS Aéronautique, Licence LAME);2 200€ → 3 800€/mois;;;;;;Oui;Oui;Oui;Oui;I1102;;
Technicien superieur en électronique;Aéronautique et transport aérien;Conception technique, technologique ou informatique;→ Fiche métier;Opérationnel;;;INTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Peu nécessaire;Nécessaire;I;N;T;J;Le technicien spécialisé en conception technique, technologique ou informatique assure des opérations techniques de terrain, de maintenance ou de contrôle dans son secteur d'activité.;Bac Pro à Bac+2;1 900€ → 3 200€/mois;;;;;;Oui;;Oui;Oui;I1612;;
Technicien support clients;Aéronautique et transport aérien;Commercial;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le technicien spécialisé en commercial assure des opérations techniques de terrain, de maintenance ou de contrôle dans son secteur d'activité.;Bac Pro à Bac+2;1 900€ → 3 200€/mois;;;;;;Oui;;Oui;Oui;G1208;;
Agent tractoriste en viticulture;Agriculture;Entretien - nettoyage;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'agent ou opérateur spécialisé en entretien - nettoyage réalise des opérations techniques ou administratives spécifiques à son secteur d'activité.;CAP à Bac+2 selon spécialité;1 600€ → 2 800€/mois;;;;;;Oui;;Oui;Oui;A1101;;
Acquaculteur;"Nautique - metiers de la mer ; Agriculture";Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;L'aquaculteur élève des poissons, crustacés ou mollusques en milieu contrôlé (bassins, cages, parcs). Il gère l'alimentation, la santé des animaux et la production.;BTSA Aquaculture à Licence pro;1 500€ → 2 800€/mois;;;;;;Oui;Oui;Oui;;A1404;;
Berger;Agriculture;Production;→ Fiche métier;Entrepreneur - Profession libérale;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le berger assure la conduite et le soin d'un troupeau d'ovins ou caprins. Il surveille la santé des animaux, gère les pâturages et réalise les tâches d'élevage quotidiennes.;BEPA ou Bac Pro conduite de productions animales;1 500€ → 2 200€/mois;;;;;;Oui;Oui;Oui;;A1410;;
Bucheron;Agriculture;Production;→ Fiche métier;Opérationnel;;;ENTJ;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;T;J;Le bûcheron abat les arbres et réalise les premières transformations du bois en forêt. Il utilise des tronçonneuses et des engins forestiers en respectant les règles de sécurité.;CAP Exploitation forestière à Bac Pro;1 600€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;A1201;;
Caviste;Vin;Production;→ Fiche métier;Entrepreneur - Profession libérale;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le caviste sélectionne, achète et vend des vins et spiritueux. Il conseille les clients sur les accords mets-vins et gère les stocks de sa cave.;CAP à Bac+2 (BTS Viti-Oeno);1 700€ → 2 800€/mois;;;;;;Oui;Oui;Oui;;A1422;;
Céréalier;Agriculture;Production;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le céréalier cultive des céréales (blé, maïs, orge) sur une exploitation spécialisée. Il gère les semis, la fertilisation, la protection des cultures et la récolte.;Bac Pro CGEA à BTSA Productions végétales;1 400€ → 2 500€/mois;;;;;;Oui;Oui;Oui;;A1416;;
Chargé d'affaires agricoles;"Agriculture ; Banque - finance ; Commerce";Commercial;→ Fiche métier;Opérationnel;Master pro responsable d'affaires agroalimentaires - bac + 5 ecole d'ingénieur agronome/agricole - master pro banque finance;;ENFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le chargé d'affaires agricoles conseille les exploitants agricoles sur leur gestion financière, leur financement et leurs investissements. Il travaille en banque, coopérative ou cabinet de conseil.;Bac+3 à Bac+5 (agronomie, banque, conseil);2 500€ → 4 500€/mois;;Oui;;;;;;Oui;Oui;;;
chef d’exploitation agricole;Agriculture;Production;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;E;S;F;J;Le chef d'exploitation agricole dirige une ferme. Il planifie les cultures ou l'élevage, gère les équipes et les équipements, assure la rentabilité et commercialise la production.;Bac Pro CGEA à BTS agricole;1 800€ → 4 000€/mois;;;;;;Oui;Oui;Oui;;;;
